"S, No. ",Actions ,Who,When ,Remarks 
1,Harshit contract and first invoice request and payment,Mansi,"July 15, 2026",First Invoice under processing
2,CL engagement for 2 persons,Rajat,"August 10, 2026",
3,Akhil engagement,Mansi,"August 10, 2026",Under QRM Review
4,Code generation and invoicing for CAG,Deependra,"July 15, 2026",Code Generated- first Invoice Due
5,Code generation and invoicing for Bharat Innovates,Deependra,"July 15, 2026",Code Generated-  Invoice Due
6,"Deployment, Code generation and invoicing for University Township",Rajat / Arvind,"July 15, 2026",DRMS under progress
7,"Deployment, Code generation and invoicing for PMRC",Rajat,"August 15, 2026",DRMS under progress
8,Code generation and invoicing for ADB green Jobs (Individual Consultants),Manish,"July 15, 2026",
9,Niti closure,Mansi,"August 10, 2026",
10,GMR final invoice,Deependra,"August 10, 2026",Invoice to be generated
11,ICICI invoice,Rajat,"July 15, 2026",Invoice to be generated
12,GSDM WO and deployment,Priyank,"August 10, 2026",
13,DGSE extention and deployment,Bhavisha,"August 10, 2026",
14,IIIT Jammu WO,KV,"July 15, 2026",
15,MNIT (IIIT Kota) WO and invoice,KV,"August 10, 2026",follow up Prof Padhy July 15
16,Sachin/ Sid Ashwin EMeritus,KV,"August 15, 2026",
17,AMLI,KV,"August 15, 2026",Need to study LMS, get demo feedback and suggest simulation and video generation
18,Jain Univ,KV,"July 15, 2026",Need to send proposal
19,AI for school Leaders - CII,KV,"July 15, 2026",Need to send outline
20,English Hackathon Punjab,KV / Meethi,"August 15, 2026",
21,Haryana Counselling,Meethi,"August 15, 2026",
22,Prof Ajay Sharma Gurugram Univ article,Mansi,"July 15, 2026",
23,UPES,Samanvay,"August 10, 2026",
24,"Edtech- BMU, Times",Deb,"August 10, 2026",
25,UNSW,Deb,"August 10, 2026",
26,ABES,KV,"August 10, 2026",
27,Google workshops and overall agreement,KV,"July 15, 2026",
28,SGT,KV,"August 10, 2026",
29,Army workshop,KV,"August 10, 2026",
30,"Amity- south Africa, studies, AI workshop, Maldives",KV,"August 10, 2026",
31,Renew,KV,"August 10, 2026",
32,Karnataka Higher Ed,Priyank,"August 10, 2026",
33,MP Higher Ed,Meethi / Deependra,"August 10, 2026",
34,UP AI,Arvind,"July 15, 2026",
35,VBU,KV,"August 10, 2026",
36,UP Hiring,Arvind,"August 10, 2026",
37,NIMI Payment Due,,,
38,Shobhit University,,,
39,SIU Session,,,
40,BMU Discussion with Davinder Singh,KV,"August 1, 2026",
41,"Google agreement on workshops, CoE and Courses",KV,"August 1, 2026",
