Sr. No.,Opportunity Name,Sales Stage ,              Amount Total ,Jupiter ID,PM,Amount pm ,Start Date,Duration,Additional Hires ,Remarks ,Hiring Status,"EL, approval, Code, Invoicing PBG Status"
,,,(in L),,,(in L),,,,,,
1.  ,"Bharat Innovates, MOE",Work Order (WO) Issued,20, JO-9449886,Rajat Sharma,6.33,"May 1, 2026",3 months ,-,,,
2.  ,CAG FLN School Education PAP MU,"WO Number M2603917 Dated June 15, 2026",32.5,,Rajat Sharma,6.6,"June 23, 2026",5 months ,1,Co-terminus with NICSI empanelment- to be extended ,Avinash joined ,
3.  ,"University Township PMU, MOE","WO Dated June 21, 2026",180,JO-9466509 ,Arvind Gupta ,12,"July 1, 2026",12 months ,4,Thrive MNIT,"2 pending , Vishakha and Nivedita joined",
4.  ,"PMRC PMU, MoE",WO Received ,144,,Deependra Thakur / Rajat Sharma,12,"Aug 1, 2026",12 months ,4,,Retainer,
5.  ,ICICI AI Training,WO Received ,10,,Debtirtha Bannerjee,-,"July 1, 2026",1 month,,,Retainer,
6.  ,Google RBR (Internal)- AI Training,Internal confirmation on email,40,,Debtirtha Bannerjee,-,"June 22, 2026",3 months ,,Lumpsum fee for 4 AI workshops,Retainer,
7.  ,"Integrated Education PMU DGSE (Extension), Punjab",WO awaited- file approved,144,,Bhavisha Sharma,12,"August 1, 2026",12 months ,4,,,
8.  ,"PM- SETU PMU, Gujarat",WO Received ,450,JO-9345455,Priyank Patel,12.5,"July 15, 2026",3 years + 2 years extendable ,4,NEGD,"1 internal, 2 under progress, 1 to be activated",
9.  ,UNSW COE for AI and innovation,WO awaited,133,,Debtirtha Bannerjee,11,"July 1, 2026",12 months ,1,,,
10.  ,Unext ,Closed,112,,Debtirtha Bannerjee,10,"July 15, 2026",12 months ,,,Retainer and Piyush ,
11.  ,MNIT DPR for IIITK,WO awaited,40,,Rajat Sharma,,"July 15, 2026",3 months ,-,Lumpsum fee,,
12.  ,IIT Jammu- Audit for CoE for AI,WO awaited,10,,Rajat Sharma,,"July 15, 2026",1 month ,-,Lumpsum fee- With Ajay Singh (SRT),,
13,Gujarat Skill Development Program -  Green Skills & Youth Employment – Program Expert ADB - 1,WO received,"9,5",JO-9332027,Manish Kumar,4.5,"Feb 23, 2026",2 months,,ADB Procurement ,Manish ,"ASI01182-01, There are two invoices – First through ADB Portal which has been raised already for 5490 USD / Similar amount will be raised through CRP to reconcile the account received . Final invoice of remaining amount invoice will be raised by 15 July 2026 "
14,Gujarat Skill Development Program -  Green Skills & Youth Employment – Program Expert ADB - 2,"Contract Expected by July 30, 2026",45,,Priyank Patel ,4.5,"Aug 1, 2026",10 Months -extendeable for 5 years ,0,Through ADB Procurement,1 Resource Internal on Resource Person Arrangement,
15,Gujarat Skill Development Program - PMC ,"WO Expected by 1st September, Currently RFP is expected by July 10 , 2026 ",180,,Priyank Patel ,4.5,"September 1, 2026",One year extendable up to 5 Years ,4,NEGD , 4 External Resources to be hired ,
,Total in INR Lakhs,,1540.5,…,,,,,22,,,
,,,,,,,,,,,,
